Static測位のために用いた電子基準点	観測日時	緯度	経度	高度
室生	2023/10/25	34.61311884	136.1210839	327.6816695
室生	2023/10/28	34.61311931	136.1210836	327.5274983
室生	2023/10/29	34.61311927	136.1210835	327.5641767
月ヶ瀬	2023/10/25	34.61311921	136.1210834	327.488169
月ヶ瀬	2023/10/28	34.61311874	136.1210825	327.4536546
月ヶ瀬	2023/10/29	34.61311241	136.1210907	327.54705
白山	2023/10/25	34.61311914	136.121084	327.5091
白山	2023/10/28	34.61311847	136.1210825	327.2875654
白山	2023/10/29	34.61311805	136.1210852	327.5551246
上記のStatic測位の平均から得られた近大高専の座標(WGS84)		34.61311816	136.1210844	327.5126676
